   1		      2
   1		      3
   3		      4
   5		      5
  10		      7
  12		      9
  12		     11
  14		     13
  17		     15
  18		     17
  19		     20
  19		     23
  29		     27
  30		     30
  30		     33
  34		     37
  37		     41
  37		     45
  38		     48
  38		     51
  38		     54
  39		     57
  42		     59
  44		     61
  48		     63
  49		     65
  50		     68
  52		     71
  53		     73
  53		     75
  56		     77
  57		     79
  58		     81
  60		     84
  62		     87
  63		     90
  66		     93
  67		     96
  69		     99
  70		    101
  72		    104
  73		    107
  74		    110
  75		    113
  76		    116
  77		    119
  77		    122
  78		    125
  81		    128
  83		    131
  84		    135
  85		    139
  86		    143
  87		    147
  90		    151
  93		    155
  94		    159
  94		    163
  94		    167
  96		    170
  96		    173
 107		    177
 108		    180
 109		    183
 110		    186
 113		    189
 114		    192
 114		    195
 115		    198
 116		    201
 116		    204
 116		    207
 117		    210
 118		    213
 118		    216
 120		    220
 122		    222
 123		    224
 124		    227
 124		    230
 127		    234
 127		    238
 128		    242
 129		    246
 131		    249
 131		    252
 136		    255
 139		    258
 140		    261
 142		    263
 149		    265
 150		    267
 150		    269
 151		    272
 152		    275
 158		    277
 159		    279
 160		    282
 161		    284
 164		    287
 168		    289
 168		    291
 168		    293
 168		    295
 172		    297
 172		    299
 176		    301
 177		    304
 177		    307
 178		    310
 181		    313
 182		    315
 183		    317
 186		    319
 186		    321
 186		    323
 187		    325
 192		    327
 192		    329
 194		    331
 196		    333
 202		    335
 207		    337
 210		    339
 212		    341
 212		    343
 215		    345
 216		    347
 224		    350
 231		    353
 237		    355
 239		    357
 242		    360
 244		    363
 250		    365
 250		    367
 254		    371
 254		    375
 255		    379
 256		    382
 257		    385
 258		    388
 259		    391
 259		    394
 260		    397
 260		    400
 261		    402
 262		    405
 263		    408
 268		    410
 270		    414
 272		    419
 272		    424
 272		    429
 276		    433
 279		    437
 279		    441
 282		    444
 285		    447
 286		    450
 287		    453
 290		    457
 290		    461
 292		    464
 296		    468
 296		    472
 296		    476
 297		    481
 300		    485
 303		    489
 304		    493
 304		    497
 304		    501
 305		    504
 306		    507
 310		    510
 310		    513
 310		    516
 313		    519
 319		    522
 322		    524
 323		    526
 323		    528
 323		    530
 326		    532
 330		    534
 334		    536
 335		    538
 336		    540
 339		    543
 347		    546
 349		    549
 350		    552
 352		    554
 352		    556
 352		    558
 353		    560
 353		    562
 353		    564
 356		    566
 360		    570
 361		    574
 370		    579
 371		    584
 374		    589
 376		    594
 380		    599
 381		    604
 385		    609
 386		    614
 387		    619
 391		    623
 392		    627
 392		    631
 396		    634
 396		    637
 399		    640
 399		    643
 401		    646
 403		    649
 404		    652
 411		    656
 417		    660
 418		    663
 424		    666
 430		    669
 431		    671
 435		    673
 435		    675
 435		    677
 436		    679
 437		    681
 440		    683
 440		    685
 448		    687
 450		    689
 456		    692
 457		    695
 460		    699
 461		    703
 462		    707
 468		    710
 469		    713
 470		    716
 471		    719
 474		    722
 487		    724
 488		    726
 491		    729
 492		    731
 494		    733
 495		    735
 496		    737
 498		    739
 504		    742
 510		    744
 512		    747
 512		    750
 512		    753
 512		    756
 513		    759
 514		    761
 516		    763
 519		    765
 523		    767
 524		    770
 525		    773
 526		    776
 528		    780
 528		    784
 529		    788
 530		    792
 530		    796
 532		    800
 533		    804
 538		    808
 539		    811
 540		    815
 541		    819
 546		    825
 549		    830
 550		    835
 553		    840
 555		    845
 558		    849
 559		    853
 563		    857
 563		    861
 567		    864
 569		    868
 569		    872
